kind,n_cubes,perc_overlap,eps,n_nodes,n_components,giant_frac,slow_isolated,bridge_frac,ordering_rho
subsample,10,0.3,1.0,62,5,0.9032258064516129,0.8333333333333334,0.6,0.9999999999999999
subsample,10,0.3,1.0,55,7,0.8363636363636363,1.0,0.8,1.0
subsample,10,0.3,1.0,57,4,0.9298245614035088,0.9473684210526315,0.8,1.0
subsample,10,0.3,1.0,61,8,0.819672131147541,1.0,0.6,0.9833333333333333
subsample,10,0.3,1.0,63,9,0.8571428571428571,0.9583333333333334,0.8,0.9833333333333333
subsample,10,0.3,1.0,64,6,0.890625,1.0,0.8,0.9833333333333333
subsample,10,0.3,1.0,61,9,0.7868852459016393,0.9411764705882353,0.6,1.0
subsample,10,0.3,1.0,63,9,0.8095238095238095,1.0,0.8,0.9833333333333333
subsample,10,0.3,1.0,61,8,0.8524590163934426,1.0,0.8,0.9833333333333333
subsample,10,0.3,1.0,58,8,0.8448275862068966,0.9411764705882353,0.8,0.9285714285714287
subsample,10,0.3,1.0,59,4,0.9491525423728814,0.875,0.8,0.9761904761904763
subsample,10,0.3,1.0,55,6,0.8727272727272727,0.9285714285714286,0.8,0.9999999999999999
null_gauss,10,0.3,1.0,153,51,0.5228758169934641,1.0,0.6,1.0
null_shuffle,10,0.3,1.0,73,13,0.7397260273972602,,0.8,1.0
null_gauss,10,0.3,1.0,97,33,0.6082474226804123,0.0,0.8,0.9999999999999999
null_shuffle,10,0.3,1.0,59,12,0.8135593220338984,1.0,0.6,1.0
null_gauss,10,0.3,1.0,110,33,0.5818181818181818,,0.6,1.0
null_shuffle,10,0.3,1.0,73,11,0.863013698630137,,0.8,1.0
null_gauss,10,0.3,1.0,137,36,0.5912408759124088,0.75,0.6,0.9999999999999999
null_shuffle,10,0.3,1.0,65,8,0.8769230769230769,,0.4,1.0
null_gauss,10,0.3,1.0,121,35,0.628099173553719,0.0,0.8,1.0
null_shuffle,10,0.3,1.0,58,11,0.7758620689655172,1.0,0.8,1.0
null_gauss,10,0.3,1.0,105,26,0.6666666666666666,0.3333333333333333,0.8,1.0
null_shuffle,10,0.3,1.0,68,11,0.8088235294117647,,1.0,1.0
null_gauss,10,0.3,1.0,122,26,0.6885245901639344,1.0,0.8,0.8999999999999998
null_shuffle,10,0.3,1.0,84,12,0.8571428571428571,,0.8,1.0
null_gauss,10,0.3,1.0,135,43,0.5851851851851851,1.0,1.0,0.7
null_shuffle,10,0.3,1.0,85,9,0.8588235294117647,,0.6,0.9761904761904763
null_gauss,10,0.3,1.0,126,38,0.5714285714285714,1.0,0.6,0.7999999999999999
null_shuffle,10,0.3,1.0,53,7,0.8490566037735849,,0.6,1.0
null_gauss,10,0.3,1.0,114,40,0.5701754385964912,1.0,0.8,1.0
null_shuffle,10,0.3,1.0,79,10,0.8607594936708861,0.0,0.6,1.0
