origin_cluster,origin_degree,origin_train_n,reassigned_to,is_graph_neighbor,dist_to_own_centroid,dist_to_reassigned_centroid,margin_normalized
cube13_cluster0,10,1173,cube4_cluster0,True,1.2662707660705517,1.1733756006040714,0.023574350061923842
cube13_cluster0,10,1173,cube24_cluster2,False,1.991109143740602,1.6653091703801144,0.0826794654339358
cube13_cluster0,10,1173,cube5_cluster0,True,1.3292458058641614,1.2495974657431066,0.020212654150903505
cube13_cluster0,10,1173,cube5_cluster0,True,1.156945653416711,1.0385784467201837,0.030038484268838664
cube13_cluster0,10,1173,cube4_cluster0,True,1.7323170064356208,1.5295469384637155,0.05145771085551958
cube13_cluster0,10,1173,cube4_cluster0,True,1.515530004355713,1.3870422025440479,0.032606825160220614
cube13_cluster0,10,1173,cube24_cluster2,False,2.4163193948721844,1.7007436148292396,0.18159431494477066
cube13_cluster0,10,1173,cube3_cluster0,True,2.000279579526375,1.494356171447837,0.12839005632503667
cube13_cluster0,10,1173,cube23_cluster0,True,1.562339581603958,0.6538632523608394,0.23054740148212288
cube13_cluster0,10,1173,cube4_cluster0,True,0.8160018645398145,0.7525415534722953,0.01610455808579293
cube13_cluster0,10,1173,cube23_cluster1,True,2.0243807528580127,1.6783877954718536,0.0878039137496857
cube13_cluster0,10,1173,cube4_cluster0,True,1.2956096492060787,1.255795701023841,0.010103733031554188
cube13_cluster0,10,1173,cube4_cluster0,True,0.9137960738301774,0.9007280154626437,0.0033163295531999904
cube13_cluster0,10,1173,cube4_cluster0,True,1.8549064999023848,1.6554380085560245,0.05061985753197984
cube13_cluster0,10,1173,cube4_cluster0,True,1.8979777155334112,1.611579465043917,0.07268034434577884
cube13_cluster0,10,1173,cube12_cluster0,True,1.0792227429481633,1.0481575959272955,0.007883517370549518
cube13_cluster0,10,1173,cube4_cluster0,True,1.1036663669358082,0.9909880161973503,0.028594802230769826
cube13_cluster0,10,1173,cube12_cluster0,True,1.0000417756365059,0.757387033024345,0.06157939240217228
cube13_cluster0,10,1173,cube22_cluster0,True,1.6094666470869148,0.7080451394239775,0.22875707329097908
cube13_cluster0,10,1173,cube4_cluster0,True,1.4545173422392947,1.1780430293149768,0.07016190996892681
cube13_cluster0,10,1173,cube14_cluster0,True,2.335340276300775,2.2617738101559457,0.018669234475314714
cube13_cluster0,10,1173,cube4_cluster0,True,1.8213445712606606,1.609572695282775,0.053742133000176655
cube13_cluster0,10,1173,cube5_cluster0,True,1.7300270816367593,1.3877556435411937,0.08685949002130222
cube13_cluster0,10,1173,cube23_cluster1,True,2.5173746287431964,1.926696851578074,0.14989848635033867
cube13_cluster0,10,1173,cube23_cluster0,True,1.3437555258385605,1.1508737942926341,0.04894831111156611
cube13_cluster0,10,1173,cube3_cluster0,True,1.5835274448655123,1.3942559843096047,0.04803211927628894
cube13_cluster0,10,1173,cube23_cluster0,True,1.5418565736473528,1.2812245228767127,0.06614156045011005
cube13_cluster0,10,1173,cube5_cluster0,True,1.1141017001284967,0.8635816897376787,0.06357539052558096
cube13_cluster0,10,1173,cube3_cluster0,True,1.1516859226828733,0.9005132499319963,0.06374101906901491
cube13_cluster0,10,1173,cube4_cluster0,True,1.802514196536896,1.5784029280419796,0.05687354632278848
cube13_cluster0,10,1173,cube13_cluster1,False,2.496590661411338,1.3754592683252849,0.28451366433659875
cube13_cluster0,10,1173,cube4_cluster0,True,1.1330355291182277,0.9519164614934108,0.045963256339936955
cube13_cluster0,10,1173,cube12_cluster0,True,1.734977386534069,1.3776290571529421,0.09068560854131971
cube13_cluster0,10,1173,cube4_cluster0,True,1.3146611437112796,1.205216892827429,0.027774072737207126
cube13_cluster0,10,1173,cube4_cluster0,True,1.5030230547396575,1.4661661596532636,0.009353310719660337
cube13_cluster0,10,1173,cube4_cluster0,True,1.5778644755509394,1.5610084207897212,0.0042776234221500046
cube13_cluster0,10,1173,cube6_cluster3,False,2.145486036869126,1.7250082153926436,0.10670621347177084
cube13_cluster0,10,1173,cube22_cluster0,True,2.975889201518577,2.616338444719666,0.0912445267010765
cube13_cluster0,10,1173,cube13_cluster1,False,3.0263419678645644,2.0649562270362276,0.24397441874418282
cube13_cluster0,10,1173,cube4_cluster0,True,2.0305266794450256,1.8015381479339572,0.05811126741526374
cube13_cluster0,10,1173,cube23_cluster1,True,2.2156052700607862,1.6042279906066097,0.15515147568104648
cube13_cluster0,10,1173,cube3_cluster0,True,2.0085207820576056,1.9089034916239405,0.025280248601860213
cube13_cluster0,10,1173,cube4_cluster0,True,2.144885988117596,1.985010261441136,0.040572255059229095
cube13_cluster0,10,1173,cube23_cluster1,True,1.5941465029884374,1.1450754317244514,0.11396242832981819
cube13_cluster0,10,1173,cube4_cluster0,True,1.0203277737939591,0.9443637281705443,0.019277677096043482
cube13_cluster0,10,1173,cube22_cluster0,True,2.591241980451997,2.2281334330316196,0.09214740039893045
cube13_cluster0,10,1173,cube4_cluster0,True,1.6635330154129175,1.3800860385625269,0.071931388708019
cube13_cluster0,10,1173,cube23_cluster1,True,1.7523534257708604,1.6102917439034679,0.0360515189559139
cube13_cluster0,10,1173,cube5_cluster0,True,1.710034225971652,1.3232936051560154,0.09814459915638296
cube13_cluster0,10,1173,cube14_cluster0,True,1.5973120554929443,1.261404873424077,0.08524440920731485
cube13_cluster0,10,1173,cube4_cluster0,True,1.778860853223002,1.5104503048153324,0.06811553859343276
cube13_cluster0,10,1173,cube3_cluster0,True,1.4907793829269802,1.2264625521722605,0.06707666070866124
cube13_cluster0,10,1173,cube4_cluster0,True,1.538456762718779,1.2661547496979693,0.06910308997549967
cube13_cluster0,10,1173,cube24_cluster1,True,2.2973407666799583,1.3977831799535034,0.22828405917421926
cube13_cluster0,10,1173,cube5_cluster0,True,1.5637558903726065,1.086350958713451,0.12115281698144749
cube13_cluster0,10,1173,cube24_cluster1,True,2.8325413400772836,1.717584050781242,0.28294683915970725
cube13_cluster0,10,1173,cube12_cluster0,True,1.821544995228356,1.4093119108858267,0.10461391600517676
cube13_cluster0,10,1173,cube4_cluster0,True,2.2773620876241165,1.987095435171071,0.07366204303387579
cube13_cluster0,10,1173,cube23_cluster1,True,1.9845240540272946,1.487739032808518,0.12607097405900602
cube13_cluster0,10,1173,cube4_cluster0,True,1.800479012765935,1.7241004458973406,0.019382871687095606
cube13_cluster0,10,1173,cube24_cluster2,False,2.008301557821387,1.6487390733681764,0.09124750287132688
cube13_cluster0,10,1173,cube14_cluster0,True,1.605338990806739,1.4774354377692274,0.03245855818576636
cube13_cluster0,10,1173,cube4_cluster0,True,1.011791149759909,0.7833969756253146,0.057960435143373956
cube13_cluster0,10,1173,cube12_cluster0,True,1.1517557820334374,1.027488253535044,0.03153583077698803
cube13_cluster0,10,1173,cube23_cluster1,True,2.0456489764605172,1.3299810203869051,0.1816177067973322
cube13_cluster0,10,1173,cube23_cluster0,True,1.657123884567585,1.1052847103845054,0.1400422702812136
cube13_cluster0,10,1173,cube23_cluster1,True,2.5656149624766442,1.5055627181005131,0.26901338263796104
cube13_cluster0,10,1173,cube5_cluster0,True,1.3034448567501706,1.2914004714109466,0.0030565482589083215
cube13_cluster0,10,1173,cube14_cluster0,True,1.461103662336767,1.316925295207787,0.036588678011253366
cube13_cluster0,10,1173,cube22_cluster0,True,2.3730362591199152,1.896014373890967,0.12105560987071862
cube13_cluster0,10,1173,cube3_cluster0,True,1.8647251591738707,1.4600469167162478,0.10269669581010073
cube13_cluster0,10,1173,cube23_cluster0,True,1.7459805901952297,1.4022924242533996,0.08721901829193504
cube13_cluster0,10,1173,cube23_cluster1,True,1.6428842793141498,1.0960223317499247,0.13877918105518988
cube13_cluster0,10,1173,cube22_cluster0,True,2.0086254843030296,1.6051895181387175,0.1023814387559249
cube13_cluster0,10,1173,cube3_cluster0,True,2.1004171951358606,1.6693452447382344,0.10939472479024534
cube13_cluster0,10,1173,cube22_cluster0,True,2.1054751781737404,1.6381417000803349,0.11859694692298815
cube13_cluster0,10,1173,cube4_cluster0,True,1.676550644833371,1.638663581055644,0.009614740442406037
cube13_cluster0,10,1173,cube5_cluster0,True,2.2246955787153144,2.0520368296246088,0.04381624998328767
cube13_cluster0,10,1173,cube22_cluster0,True,1.2838842176381473,1.108100786942673,0.04460921200249466
cube13_cluster0,10,1173,cube4_cluster0,True,1.8217548207553773,1.720145313532715,0.025785820832096545
cube13_cluster0,10,1173,cube3_cluster0,True,1.3798335694684438,1.125275235992643,0.06460021072575471
cube13_cluster0,10,1173,cube4_cluster0,True,2.2631226295987075,2.0063799400477196,0.06515454285399588
cube13_cluster0,10,1173,cube4_cluster0,True,1.681197563864452,1.4443953820020816,0.06009416639303168
cube13_cluster0,10,1173,cube4_cluster0,True,2.3205528254588046,2.0181803698303273,0.07673417752446297
cube13_cluster0,10,1173,cube4_cluster0,True,1.5274875611504943,1.358210323356333,0.04295811134235
cube13_cluster0,10,1173,cube14_cluster0,True,1.0972701976576422,0.6748075013756283,0.10720992249968121
cube13_cluster0,10,1173,cube24_cluster0,True,1.5940384290261,1.0814602760743783,0.13007885556906018
cube13_cluster0,10,1173,cube5_cluster0,True,0.8837317368604336,0.7186383427755038,0.041896361834606335
cube13_cluster0,10,1173,cube5_cluster0,True,1.0536342300045514,0.6076931379045695,0.11316812192939106
cube13_cluster0,10,1173,cube4_cluster0,True,1.3785701010969984,1.3150194390005951,0.0161274868008953
cube13_cluster0,10,1173,cube12_cluster0,True,1.8570783797176487,1.817922397610324,0.009936758544765981
cube13_cluster0,10,1173,cube23_cluster0,True,1.4886296464584887,1.435953999899548,0.013367693845883965
cube13_cluster0,10,1173,cube13_cluster1,False,3.283909206662411,1.850755409302586,0.3636967450553389
cube13_cluster0,10,1173,cube22_cluster0,True,2.8970482483587117,2.3238344454883575,0.14546658893748718
cube13_cluster0,10,1173,cube22_cluster0,True,2.321663188287726,1.6172423488986352,0.17876348435661882
cube13_cluster0,10,1173,cube5_cluster0,True,0.9635111429221824,0.4956630629929911,0.1187275393360422
cube13_cluster0,10,1173,cube14_cluster0,True,1.965201233792411,1.7400046461956642,0.05714897176938691
cube13_cluster0,10,1173,cube24_cluster0,True,1.5132229539380957,1.1363606035710996,0.09563775389276544
cube13_cluster0,10,1173,cube4_cluster0,True,1.5928277096069,1.430377644227153,0.04122555452281788
cube13_cluster0,10,1173,cube23_cluster1,True,1.9580090579916585,1.3703800576943042,0.1491247869572589
cube13_cluster0,10,1173,cube5_cluster0,True,1.737645108427614,1.5092293819869484,0.05796590455187777
cube13_cluster0,10,1173,cube4_cluster0,True,1.295326718015075,1.097251341147863,0.05026632171294275
cube13_cluster0,10,1173,cube23_cluster1,True,2.0198450014785254,1.606354031828556,0.1049331342166567
cube13_cluster0,10,1173,cube22_cluster0,True,2.171782363192251,1.8331265018500804,0.08594195172280973
cube13_cluster0,10,1173,cube12_cluster0,True,1.2186900653801442,1.0297488844623757,0.047948302989739296
cube13_cluster0,10,1173,cube22_cluster0,True,2.222066353419827,1.661068130275623,0.14236659604520355
cube13_cluster0,10,1173,cube4_cluster0,True,2.0039188904595977,1.7643664902659064,0.060792099480977704
cube13_cluster0,10,1173,cube4_cluster0,True,1.4082155647726586,1.1783701542417782,0.05832872077650519
cube13_cluster0,10,1173,cube22_cluster0,True,1.7398595051195413,1.495381226407229,0.06204215790950146
cube13_cluster0,10,1173,cube4_cluster0,True,1.4078820323169958,1.1973798708392465,0.053419912850671505
cube13_cluster0,10,1173,cube23_cluster1,True,2.117581560177803,1.8255716210136803,0.07410444335663605
cube13_cluster0,10,1173,cube23_cluster0,True,1.8569489493081792,1.4379634910520849,0.10632749093222531
cube13_cluster0,10,1173,cube4_cluster0,True,1.2824983351690487,1.027034042333699,0.06483011938651906
cube13_cluster0,10,1173,cube22_cluster0,True,2.145464210119184,1.5892067278827307,0.14116352067361673
cube13_cluster0,10,1173,cube23_cluster0,True,1.8030793502645714,1.3226721270318453,0.12191471962931838
cube13_cluster0,10,1173,cube3_cluster0,True,1.673516539733708,1.654368939892181,0.004859157301061817
cube13_cluster0,10,1173,cube4_cluster0,True,0.9946825934905014,0.7700408304312326,0.05700817189240977
cube13_cluster0,10,1173,cube23_cluster0,True,1.9987048892212531,1.3261252309805265,0.17068302993245912
cube13_cluster0,10,1173,cube4_cluster0,True,1.34417355995976,1.3303742412842516,0.003501904188866098
cube13_cluster0,10,1173,cube24_cluster1,True,3.383265859003087,1.6762720887617995,0.43319012879859436
cube13_cluster0,10,1173,cube23_cluster1,True,2.0004910867012433,1.8374783134566712,0.04136835498096198
cube13_cluster0,10,1173,cube14_cluster0,True,1.3347079383782707,1.3109910340817679,0.0060187266093266216
cube13_cluster0,10,1173,cube3_cluster0,True,2.0426409343322707,1.7414079237053175,0.07644501634791143
cube13_cluster0,10,1173,cube22_cluster0,True,2.66615052456589,2.339720562996441,0.08283933987410026
cube13_cluster0,10,1173,cube14_cluster0,True,1.6512767925639353,1.541511276510423,0.027855601388717396
cube13_cluster0,10,1173,cube4_cluster0,True,1.9612178755252538,1.70696220216665,0.06452340354728903
cube13_cluster0,10,1173,cube15_cluster1,False,3.296314864837929,2.9747593001253754,0.0816023461374708
cube13_cluster0,10,1173,cube12_cluster0,True,1.7096006610360532,1.6072878967195112,0.02596428898844675
cube13_cluster0,10,1173,cube22_cluster0,True,1.9709880824073278,1.4772998010107892,0.1252851029293994
cube13_cluster0,10,1173,cube23_cluster1,True,2.490051589609595,1.091574432419161,0.3548967256978238
cube13_cluster0,10,1173,cube13_cluster1,False,2.1029010689316863,1.9928226673337772,0.027935003511700716
cube13_cluster0,10,1173,cube23_cluster0,True,1.5521659340194807,1.2330253897380918,0.08098947746163512
cube13_cluster0,10,1173,cube23_cluster1,True,1.61295898517251,1.5366734753770517,0.019359256249124938
cube13_cluster0,10,1173,cube4_cluster0,True,1.3326846900365965,1.1343344579575947,0.05033607273762248
cube13_cluster0,10,1173,cube4_cluster0,True,2.169115194369373,1.8729729311950973,0.07515311851960553
