pitcher_id,pitch_type,pitch_count,num_clusters,top_cluster,top_cluster_pct,top_3_clusters_pct,top_5_clusters_pct,concentration,entropy,consistency_score,num_clusters_used,cluster_rank1,cluster_rank1_pct,cluster_rank2,cluster_rank2_pct,cluster_rank3,cluster_rank3_pct
686563,SI,133,40,cube4_cluster0,12.78,30.83,43.60999999999999,12.78,3.2673351061041678,12.78,40,cube4_cluster0,12.78,cube5_cluster0,10.53,cube13_cluster1,7.52
686563,ST,98,34,cube5_cluster0,14.29,35.71,48.97,14.29,3.112677866040556,14.29,34,cube5_cluster0,14.29,cube22_cluster0,12.24,cube14_cluster0,9.18
686993,FC,36,21,cube5_cluster0,11.11,30.549999999999997,44.44,11.11,2.900793805553194,11.11,21,cube5_cluster0,11.11,cube4_cluster0,11.11,cube50_cluster0,8.33
686993,FF,78,36,cube4_cluster0,11.54,30.769999999999996,43.58999999999999,11.54,3.262275694368598,11.54,36,cube4_cluster0,11.54,cube5_cluster0,10.26,cube14_cluster0,8.97
686993,ST,30,15,cube4_cluster0,26.67,53.34,66.68,26.67,2.375509531461041,26.67,15,cube4_cluster0,26.67,cube23_cluster0,16.67,cube57_cluster1,10.0
687377,CH,7,6,cube33_cluster0,28.57,57.15,85.72999999999999,28.57,1.748067149102356,28.57,6,cube33_cluster0,28.57,cube22_cluster0,14.29,cube32_cluster0,14.29
687377,FF,14,8,cube4_cluster0,42.86,64.28999999999999,78.57,42.86,1.7718945415985614,42.86,8,cube4_cluster0,42.86,cube5_cluster0,14.29,cube24_cluster2,7.14
687377,SI,7,5,cube4_cluster0,28.57,71.43,100.00999999999999,28.57,1.5499404211001826,28.57,5,cube4_cluster0,28.57,cube5_cluster0,28.57,cube14_cluster0,14.29
687377,SL,28,20,cube13_cluster0,17.86,35.71,46.42,17.86,2.8274163761524638,17.86,20,cube13_cluster0,17.86,cube3_cluster0,10.71,cube12_cluster0,7.14
687396,FF,152,39,cube4_cluster0,13.82,28.950000000000003,41.45,13.82,3.3109081629204904,13.82,39,cube4_cluster0,13.82,cube13_cluster0,7.89,cube22_cluster0,7.24
