pitcher_id,pitch_a,cluster_a,pitch_b,cluster_b,same_cluster
547184,FF,cube12_cluster0,SI,cube12_cluster0,True
547973,FF,cube13_cluster0,SI,cube4_cluster0,True
548384,CH,cube13_cluster0,SI,cube13_cluster0,True
552640,FF,cube13_cluster0,FS,cube4_cluster0,False
552640,FF,cube13_cluster0,SI,cube13_cluster0,True
552640,FS,cube4_cluster0,SI,cube13_cluster0,True
554340,CH,cube13_cluster0,FF,cube14_cluster0,False
554340,CH,cube13_cluster0,SI,cube14_cluster0,False
554340,FF,cube14_cluster0,SI,cube14_cluster0,True
554430,CU,cube74_cluster0,ST,cube67_cluster0,False
554430,FC,cube24_cluster0,FF,cube14_cluster0,False
554430,FC,cube24_cluster0,FS,cube14_cluster0,False
554430,FC,cube24_cluster0,SI,cube14_cluster0,False
554430,FF,cube14_cluster0,FS,cube14_cluster0,True
554430,FF,cube14_cluster0,SI,cube14_cluster0,True
554430,FS,cube14_cluster0,SI,cube14_cluster0,True
554431,FF,cube13_cluster0,SI,cube13_cluster0,True
570632,CH,cube13_cluster0,FF,cube4_cluster0,True
570632,CH,cube13_cluster0,FS,cube3_cluster0,True
570632,CH,cube13_cluster0,SI,cube4_cluster0,True
570632,CH,cube13_cluster0,SL,cube23_cluster0,False
570632,FF,cube4_cluster0,FS,cube3_cluster0,True
570632,FF,cube4_cluster0,SI,cube4_cluster0,True
570632,FS,cube3_cluster0,SI,cube4_cluster0,True
571510,CH,cube12_cluster0,FF,cube13_cluster0,True
571510,CH,cube12_cluster0,SI,cube13_cluster0,True
571510,FF,cube13_cluster0,SI,cube13_cluster0,True
571578,CH,cube12_cluster0,FC,cube23_cluster0,False
571578,CH,cube12_cluster0,FF,cube13_cluster0,True
571578,CH,cube12_cluster0,SI,cube4_cluster0,True
571578,FC,cube23_cluster0,FF,cube13_cluster0,False
571578,FF,cube13_cluster0,SI,cube4_cluster0,True
571760,CU,cube67_cluster1,SL,cube59_cluster1,True
571927,PO,cube13_cluster0,SI,cube4_cluster0,True
571927,PO,cube13_cluster0,SL,cube23_cluster0,False
571945,CH,cube12_cluster0,FF,cube12_cluster0,True
571945,CH,cube12_cluster0,PO,cube12_cluster0,True
571945,CH,cube12_cluster0,SI,cube13_cluster0,True
571945,CH,cube12_cluster0,SL,cube22_cluster0,False
571945,CU,cube72_cluster0,ST,cube66_cluster0,False
571945,FF,cube12_cluster0,PO,cube12_cluster0,True
571945,FF,cube12_cluster0,SI,cube13_cluster0,True
571945,FF,cube12_cluster0,SL,cube22_cluster0,False
571945,PO,cube12_cluster0,SI,cube13_cluster0,False
571945,PO,cube12_cluster0,SL,cube22_cluster0,False
571945,SI,cube13_cluster0,SL,cube22_cluster0,False
571946,FC,cube14_cluster0,FF,cube5_cluster0,False
571946,FC,cube14_cluster0,FS,cube13_cluster0,True
571946,FC,cube14_cluster0,SL,cube24_cluster0,False
571946,FF,cube5_cluster0,FS,cube13_cluster0,False
571946,FS,cube13_cluster0,SL,cube24_cluster0,False
572955,FC,cube23_cluster0,FF,cube12_cluster0,False
573009,FF,cube14_cluster0,SI,cube14_cluster0,True
573186,CU,cube73_cluster0,SL,cube66_cluster0,False
573186,CU,cube73_cluster0,SV,cube73_cluster0,True
573186,FC,cube23_cluster0,FF,cube13_cluster0,False
573186,FC,cube23_cluster0,SI,cube13_cluster0,False
573186,FF,cube13_cluster0,SI,cube13_cluster0,True
573186,SL,cube66_cluster0,SV,cube73_cluster0,False
579328,CH,cube13_cluster0,FF,cube5_cluster0,False
579328,CH,cube13_cluster0,SI,cube14_cluster0,False
579328,CU,cube66_cluster0,ST,cube67_cluster0,True
579328,FF,cube5_cluster0,SI,cube14_cluster0,True
592094,CH,cube12_cluster0,FF,cube13_cluster0,False
592155,CH,cube13_cluster0,FF,cube13_cluster0,True
592254,CH,cube14_cluster0,FF,cube14_cluster0,True
592332,FF,cube4_cluster0,FS,cube13_cluster0,True
592332,FF,cube4_cluster0,SI,cube4_cluster0,True
592332,FS,cube13_cluster0,SI,cube4_cluster0,True
592351,CH,cube13_cluster0,FF,cube13_cluster0,True
592426,CH,cube13_cluster0,FC,cube23_cluster0,False
592426,CH,cube13_cluster0,FF,cube13_cluster0,True
592426,CH,cube13_cluster0,SI,cube13_cluster0,True
592426,FC,cube23_cluster0,FF,cube13_cluster0,False
592426,FC,cube23_cluster0,SI,cube13_cluster0,False
592426,FF,cube13_cluster0,SI,cube13_cluster0,True
592454,CH,cube13_cluster0,FF,cube13_cluster0,True
592662,FF,cube13_cluster0,SI,cube13_cluster0,True
592662,FF,cube13_cluster0,SL,cube23_cluster0,False
592662,SI,cube13_cluster0,SL,cube23_cluster0,False
592779,CH,cube13_cluster0,FC,cube24_cluster0,False
592779,CH,cube13_cluster0,FF,cube14_cluster0,True
592779,CH,cube13_cluster0,SI,cube14_cluster0,True
592779,FC,cube24_cluster0,FF,cube14_cluster0,False
592779,FC,cube24_cluster0,SI,cube14_cluster0,False
592779,FF,cube14_cluster0,SI,cube14_cluster0,True
592791,CH,cube12_cluster0,FF,cube13_cluster0,True
592791,CH,cube12_cluster0,SI,cube4_cluster0,True
592791,CU,cube72_cluster0,ST,cube66_cluster0,True
592791,FF,cube13_cluster0,SI,cube4_cluster0,True
592836,FC,cube22_cluster0,FS,cube12_cluster0,False
592836,FF,cube3_cluster0,FS,cube12_cluster0,True
592836,FF,cube3_cluster0,SI,cube3_cluster0,True
592836,FS,cube12_cluster0,SI,cube3_cluster0,True
592866,CH,cube13_cluster0,FF,cube14_cluster0,True
592866,CH,cube13_cluster0,SI,cube14_cluster0,True
592866,FF,cube14_cluster0,SI,cube14_cluster0,True
593423,FC,cube22_cluster0,FF,cube12_cluster0,False
593423,FC,cube22_cluster0,FS,cube12_cluster0,False
593423,FC,cube22_cluster0,SI,cube12_cluster0,False
593423,FF,cube12_cluster0,FS,cube12_cluster0,True
